country,year,week,cases
Austria,2021,50,1.0
Austria,2022,1,3.0
Austria,2022,2,3.0
Austria,2022,3,4.0
Austria,2022,4,5.0
Austria,2022,5,4.0
Austria,2022,6,1.0
Austria,2022,7,3.0
Austria,2022,8,4.0
Austria,2022,9,7.0
Austria,2022,11,14.0
Austria,2022,12,31.0
Austria,2022,13,32.0
Austria,2022,14,37.0
Austria,2022,15,28.0
Austria,2022,46,13.0
Austria,2022,47,17.0
Austria,2022,48,77.0
Austria,2022,49,155.0
Austria,2022,50,238.0
Austria,2022,51,196.0
Austria,2022,52,65.0
Austria,2023,1,56.0
Austria,2023,2,41.0
Austria,2023,3,6.0
Austria,2023,4,27.0
Austria,2023,5,25.0
Austria,2023,6,29.0
Austria,2023,7,32.0
Austria,2023,8,35.0
Austria,2023,9,44.0
Austria,2023,10,37.0
Austria,2023,11,44.0
Austria,2023,12,36.0
Austria,2023,13,20.0
Austria,2023,14,8.0
Austria,2023,40,1.0
Austria,2023,41,0.0
Austria,2023,42,1.0
Austria,2023,43,1.0
Austria,2023,44,1.0
Austria,2023,45,3.0
Austria,2023,46,1.0
Austria,2023,47,5.0
Austria,2023,48,7.0
Austria,2023,49,19.0
Austria,2023,50,21.0
Austria,2023,51,31.0
Austria,2023,52,32.0
Austria,2024,1,40.0
Austria,2024,2,58.0
Austria,2024,3,77.0
Austria,2024,4,99.0
Austria,2024,5,112.0
Austria,2024,6,116.0
Austria,2024,7,71.0
Austria,2024,8,54.0
Austria,2024,9,23.0
Austria,2024,10,21.0
Austria,2024,11,29.0
Austria,2024,12,5.0
Austria,2024,13,9.0
Austria,2024,14,7.0
Austria,2024,15,2.0
Austria,2024,16,3.0
Austria,2024,17,3.0
Austria,2024,18,2.0
Austria,2024,19,5.0
Austria,2024,20,1.0
Austria,2024,21,0.0
Austria,2024,22,0.0
Austria,2024,23,1.0
Austria,2024,24,0.0
Austria,2024,25,1.0
Austria,2024,26,0.0
Austria,2024,27,0.0
Austria,2024,28,0.0
Austria,2024,29,0.0
Austria,2024,30,1.0
Austria,2024,31,1.0
Austria,2024,32,0.0
Austria,2024,33,1.0
Austria,2024,34,1.0
Austria,2024,35,1.0
Austria,2024,36,0.0
Austria,2024,37,0.0
Austria,2024,38,0.0
Austria,2024,39,1.0
Austria,2024,40,0.0
Austria,2024,41,3.0
Austria,2024,42,0.0
Austria,2024,43,1.0
Austria,2024,44,0.0
Austria,2024,45,0.0
Austria,2024,46,0.0
Austria,2024,47,1.0
Austria,2024,48,1.0
Austria,2024,49,4.0
Austria,2024,50,7.0
Austria,2024,51,34.0
Austria,2024,52,14.0
Austria,2025,1,37.0
Austria,2025,2,32.0
Austria,2025,3,74.0
Austria,2025,4,80.0
Austria,2025,5,135.0
Austria,2025,6,163.0
Austria,2025,7,153.0
Austria,2025,8,144.0
Austria,2025,9,122.0
Austria,2025,10,103.0
Austria,2025,11,113.0
Austria,2025,12,77.0
Austria,2025,13,46.0
Austria,2025,14,19.0
Austria,2025,15,19.0
Austria,2025,16,8.0
Austria,2025,17,4.0
Austria,2025,18,0.0
Austria,2025,19,0.0
Austria,2025,20,2.0
Austria,2025,21,1.0
Austria,2025,22,0.0
Austria,2025,23,0.0
Austria,2025,24,0.0
Austria,2025,25,0.0
Austria,2025,26,0.0
Austria,2025,27,0.0
Austria,2025,28,1.0
Austria,2025,29,1.0
Austria,2025,30,0.0
Austria,2025,31,0.0
Austria,2025,32,0.0
Austria,2025,33,0.0
Austria,2025,34,1.0
Austria,2025,35,1.0
Austria,2025,36,1.0
Austria,2025,37,2.0
Austria,2025,38,2.0
Austria,2025,39,1.0
Austria,2025,40,1.0
Austria,2025,41,4.0
Austria,2025,42,5.0
Austria,2025,43,3.0
Austria,2025,44,4.0
Austria,2025,45,3.0
Austria,2025,46,4.0
Austria,2025,47,12.0
Austria,2025,48,13.0
Austria,2025,49,18.0
Austria,2025,50,49.0
Austria,2025,51,64.0
Austria,2025,52,115.0
Austria,2026,2,90.0
Austria,2026,3,69.0
Austria,2026,4,44.0
Austria,2026,5,68.0
Austria,2026,6,70.0
Austria,2026,7,44.0
Austria,2026,8,30.0
Austria,2026,9,11.0
Austria,2026,10,11.0
Belgium,2021,26,0.0
Belgium,2021,27,0.0
Belgium,2021,30,0.0
Belgium,2021,31,0.0
Belgium,2021,39,0.0
Belgium,2021,40,0.0
Belgium,2021,41,0.0
Belgium,2021,42,0.0
Belgium,2021,43,0.0
Belgium,2021,44,0.0
Belgium,2021,45,0.0
Belgium,2021,46,0.0
Belgium,2021,47,1.0
Belgium,2021,48,0.0
Belgium,2021,49,0.0
Belgium,2021,50,1.0
Belgium,2021,51,0.0
Belgium,2021,52,0.0
Belgium,2022,1,0.0
Belgium,2022,2,0.0
Belgium,2022,3,0.0
Belgium,2022,4,0.0
Belgium,2022,5,1.0
Belgium,2022,6,0.0
Belgium,2022,7,2.0
Belgium,2022,8,2.0
Belgium,2022,9,2.0
Belgium,2022,10,11.0
Belgium,2022,11,14.0
Belgium,2022,12,17.0
Belgium,2022,13,7.0
