country,year,week,cases,lat,lon,lag1,lag2,lag3,lag4,rolling_mean_3,rolling_mean_5,week_sin,week_cos
Austria,2022,4,5.0,48.2082,16.3738,4.0,3.0,3.0,1.0,4.0,3.2,0.4647231720437685,0.8854560256532099
Austria,2022,5,4.0,48.2082,16.3738,5.0,4.0,3.0,3.0,4.333333333333333,3.8,0.5680647467311558,0.8229838658936564
Austria,2022,6,1.0,48.2082,16.3738,4.0,5.0,4.0,3.0,3.3333333333333335,3.4,0.6631226582407952,0.7485107481711011
Austria,2022,7,3.0,48.2082,16.3738,1.0,4.0,5.0,4.0,2.6666666666666665,3.4,0.7485107481711011,0.6631226582407953
Austria,2022,8,4.0,48.2082,16.3738,3.0,1.0,4.0,5.0,2.6666666666666665,3.4,0.8229838658936564,0.5680647467311558
Austria,2022,9,7.0,48.2082,16.3738,4.0,3.0,1.0,4.0,4.666666666666667,3.8,0.8854560256532098,0.4647231720437686
Austria,2022,11,14.0,48.2082,16.3738,7.0,4.0,3.0,1.0,8.333333333333334,5.8,0.970941817426052,0.23931566428755804
Austria,2022,12,31.0,48.2082,16.3738,14.0,7.0,4.0,3.0,17.333333333333332,11.8,0.992708874098054,0.120536680255323
Austria,2022,13,32.0,48.2082,16.3738,31.0,14.0,7.0,4.0,25.666666666666668,17.6,1.0,-1.6081226496766366e-16
Austria,2022,14,37.0,48.2082,16.3738,32.0,31.0,14.0,7.0,33.333333333333336,24.2,0.992708874098054,-0.12053668025532288
Austria,2022,15,28.0,48.2082,16.3738,37.0,32.0,31.0,14.0,32.333333333333336,28.4,0.9709418174260521,-0.2393156642875575
Austria,2022,46,13.0,48.2082,16.3738,28.0,37.0,32.0,31.0,26.0,28.2,-0.6631226582407956,0.7485107481711007
Austria,2022,47,17.0,48.2082,16.3738,13.0,28.0,37.0,32.0,19.333333333333332,25.4,-0.5680647467311559,0.8229838658936564
Austria,2022,48,77.0,48.2082,16.3738,17.0,13.0,28.0,37.0,35.666666666666664,34.4,-0.4647231720437684,0.88545602565321
Austria,2022,49,155.0,48.2082,16.3738,77.0,17.0,13.0,28.0,83.0,58.0,-0.35460488704253595,0.9350162426854147
Austria,2022,50,238.0,48.2082,16.3738,155.0,77.0,17.0,13.0,156.66666666666666,100.0,-0.2393156642875578,0.970941817426052
Austria,2022,51,196.0,48.2082,16.3738,238.0,155.0,77.0,17.0,196.33333333333334,136.6,-0.12053668025532363,0.992708874098054
Austria,2022,52,65.0,48.2082,16.3738,196.0,238.0,155.0,77.0,166.33333333333334,146.2,6.432490598706546e-16,1.0
Austria,2023,1,56.0,48.2082,16.3738,65.0,196.0,238.0,155.0,105.66666666666667,142.0,0.12053668025532305,0.992708874098054
Austria,2023,2,41.0,48.2082,16.3738,56.0,65.0,196.0,238.0,54.0,119.2,0.23931566428755774,0.970941817426052
Austria,2023,3,6.0,48.2082,16.3738,41.0,56.0,65.0,196.0,34.333333333333336,72.8,0.3546048870425356,0.9350162426854148
Austria,2023,4,27.0,48.2082,16.3738,6.0,41.0,56.0,65.0,24.666666666666668,39.0,0.4647231720437685,0.8854560256532099
Austria,2023,5,25.0,48.2082,16.3738,27.0,6.0,41.0,56.0,19.333333333333332,31.0,0.5680647467311558,0.8229838658936564
Austria,2023,6,29.0,48.2082,16.3738,25.0,27.0,6.0,41.0,27.0,25.6,0.6631226582407952,0.7485107481711011
Austria,2023,7,32.0,48.2082,16.3738,29.0,25.0,27.0,6.0,28.666666666666668,23.8,0.7485107481711011,0.6631226582407953
Austria,2023,8,35.0,48.2082,16.3738,32.0,29.0,25.0,27.0,32.0,29.6,0.8229838658936564,0.5680647467311558
Austria,2023,9,44.0,48.2082,16.3738,35.0,32.0,29.0,25.0,37.0,33.0,0.8854560256532098,0.4647231720437686
Austria,2023,10,37.0,48.2082,16.3738,44.0,35.0,32.0,29.0,38.666666666666664,35.4,0.9350162426854148,0.35460488704253557
Austria,2023,11,44.0,48.2082,16.3738,37.0,44.0,35.0,32.0,41.666666666666664,38.4,0.970941817426052,0.23931566428755804
Austria,2023,12,36.0,48.2082,16.3738,44.0,37.0,44.0,35.0,39.0,39.2,0.992708874098054,0.120536680255323
Austria,2023,13,20.0,48.2082,16.3738,36.0,44.0,37.0,44.0,33.333333333333336,36.2,1.0,-1.6081226496766366e-16
Austria,2023,14,8.0,48.2082,16.3738,20.0,36.0,44.0,37.0,21.333333333333332,29.0,0.992708874098054,-0.12053668025532288
Austria,2023,40,1.0,48.2082,16.3738,8.0,20.0,36.0,44.0,9.666666666666666,21.8,-0.992708874098054,0.1205366802553232
Austria,2023,41,0.0,48.2082,16.3738,1.0,8.0,20.0,36.0,3.0,13.0,-0.9709418174260521,0.23931566428755738
Austria,2023,42,1.0,48.2082,16.3738,0.0,1.0,8.0,20.0,0.6666666666666666,6.0,-0.9350162426854148,0.35460488704253557
Austria,2023,43,1.0,48.2082,16.3738,1.0,0.0,1.0,8.0,0.6666666666666666,2.2,-0.8854560256532101,0.464723172043768
Austria,2023,44,1.0,48.2082,16.3738,1.0,1.0,0.0,1.0,1.0,0.8,-0.822983865893657,0.5680647467311548
Austria,2023,45,3.0,48.2082,16.3738,1.0,1.0,1.0,0.0,1.6666666666666667,1.2,-0.7485107481711011,0.6631226582407953
Austria,2023,46,1.0,48.2082,16.3738,3.0,1.0,1.0,1.0,1.6666666666666667,1.4,-0.6631226582407956,0.7485107481711007
Austria,2023,47,5.0,48.2082,16.3738,1.0,3.0,1.0,1.0,3.0,2.2,-0.5680647467311559,0.8229838658936564
Austria,2023,48,7.0,48.2082,16.3738,5.0,1.0,3.0,1.0,4.333333333333333,3.4,-0.4647231720437684,0.88545602565321
Austria,2023,49,19.0,48.2082,16.3738,7.0,5.0,1.0,3.0,10.333333333333334,7.0,-0.35460488704253595,0.9350162426854147
Austria,2023,50,21.0,48.2082,16.3738,19.0,7.0,5.0,1.0,15.666666666666666,10.6,-0.2393156642875578,0.970941817426052
Austria,2023,51,31.0,48.2082,16.3738,21.0,19.0,7.0,5.0,23.666666666666668,16.6,-0.12053668025532363,0.992708874098054
Austria,2023,52,32.0,48.2082,16.3738,31.0,21.0,19.0,7.0,28.0,22.0,6.432490598706546e-16,1.0
Austria,2024,1,40.0,48.2082,16.3738,32.0,31.0,21.0,19.0,34.333333333333336,28.6,0.12053668025532305,0.992708874098054
Austria,2024,2,58.0,48.2082,16.3738,40.0,32.0,31.0,21.0,43.333333333333336,36.4,0.23931566428755774,0.970941817426052
Austria,2024,3,77.0,48.2082,16.3738,58.0,40.0,32.0,31.0,58.333333333333336,47.6,0.3546048870425356,0.9350162426854148
Austria,2024,4,99.0,48.2082,16.3738,77.0,58.0,40.0,32.0,78.0,61.2,0.4647231720437685,0.8854560256532099
Austria,2024,5,112.0,48.2082,16.3738,99.0,77.0,58.0,40.0,96.0,77.2,0.5680647467311558,0.8229838658936564
Austria,2024,6,116.0,48.2082,16.3738,112.0,99.0,77.0,58.0,109.0,92.4,0.6631226582407952,0.7485107481711011
Austria,2024,7,71.0,48.2082,16.3738,116.0,112.0,99.0,77.0,99.66666666666667,95.0,0.7485107481711011,0.6631226582407953
Austria,2024,8,54.0,48.2082,16.3738,71.0,116.0,112.0,99.0,80.33333333333333,90.4,0.8229838658936564,0.5680647467311558
Austria,2024,9,23.0,48.2082,16.3738,54.0,71.0,116.0,112.0,49.333333333333336,75.2,0.8854560256532098,0.4647231720437686
Austria,2024,10,21.0,48.2082,16.3738,23.0,54.0,71.0,116.0,32.666666666666664,57.0,0.9350162426854148,0.35460488704253557
Austria,2024,11,29.0,48.2082,16.3738,21.0,23.0,54.0,71.0,24.333333333333332,39.6,0.970941817426052,0.23931566428755804
Austria,2024,12,5.0,48.2082,16.3738,29.0,21.0,23.0,54.0,18.333333333333332,26.4,0.992708874098054,0.120536680255323
Austria,2024,13,9.0,48.2082,16.3738,5.0,29.0,21.0,23.0,14.333333333333334,17.4,1.0,-1.6081226496766366e-16
Austria,2024,14,7.0,48.2082,16.3738,9.0,5.0,29.0,21.0,7.0,14.2,0.992708874098054,-0.12053668025532288
Austria,2024,15,2.0,48.2082,16.3738,7.0,9.0,5.0,29.0,6.0,10.4,0.9709418174260521,-0.2393156642875575
Austria,2024,16,3.0,48.2082,16.3738,2.0,7.0,9.0,5.0,4.0,5.2,0.9350162426854148,-0.35460488704253545
Austria,2024,17,3.0,48.2082,16.3738,3.0,2.0,7.0,9.0,2.6666666666666665,4.8,0.8854560256532099,-0.4647231720437685
Austria,2024,18,2.0,48.2082,16.3738,3.0,3.0,2.0,7.0,2.6666666666666665,3.4,0.8229838658936565,-0.5680647467311557
Austria,2024,19,5.0,48.2082,16.3738,2.0,3.0,3.0,2.0,3.3333333333333335,3.0,0.7485107481711013,-0.6631226582407951
Austria,2024,20,1.0,48.2082,16.3738,5.0,2.0,3.0,3.0,2.6666666666666665,2.8,0.6631226582407952,-0.7485107481711012
Austria,2024,21,0.0,48.2082,16.3738,1.0,5.0,2.0,3.0,2.0,2.2,0.5680647467311558,-0.8229838658936564
Austria,2024,22,0.0,48.2082,16.3738,0.0,1.0,5.0,2.0,0.3333333333333333,1.6,0.46472317204376906,-0.8854560256532096
